Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5	Run #6	Run #6	Run #6	Run #6	Run #6	Run #6	Run #6
Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
																												3.700	79.692	28.449	-132.645	1.1415	0.408	-1.900	3.700	78.592	-5.760	6.981	1.1258	-0.083	0.100
																												3.750	80.931	20.769	-155.334	1.1593	0.298	-2.225	3.750	78.313	-5.411	5.236	1.1218	-0.077	0.075
																												3.800	81.769	12.915	-158.825	1.1713	0.185	-2.275	3.800	78.051	-5.236	-3.491	1.1180	-0.075	-0.050
																												3.850	82.222	4.887	-129.154	1.1778	0.070	-1.850	3.850	77.789	-5.760	-10.472	1.1143	-0.083	-0.150
																												3.900	82.257	0.000		1.1783	0.000		3.900	77.475	-6.283	-5.236	1.1098	-0.090	-0.075
																																			3.950	77.161	-6.283	1.745	1.1053	-0.090	0.025
																																			4.000	76.847	-6.109	6.981	1.1008	-0.088	0.100
																																			4.050	76.550	-5.585	6.981	1.0965	-0.080	0.100
																																			4.100	76.288	-5.411	-3.491	1.0928	-0.077	-0.050
																																			4.150	76.009	-5.934	-10.472	1.0888	-0.085	-0.150
																																			4.200	75.695	-6.458	-8.727	1.0843	-0.093	-0.125
																																			4.250	75.363	-6.807	-8.727	1.0795	-0.097	-0.125
																																			4.300	75.014	-7.330	-6.981	1.0745	-0.105	-0.100
																																			4.350	74.630	-7.505	5.236	1.0690	-0.107	0.075
																																			4.400	74.264	-6.807	22.689	1.0638	-0.097	0.325
																																			4.450	73.950	-5.236	27.925	1.0593	-0.075	0.400
																																			4.500	73.740	-4.014	6.981	1.0563	-0.057	0.100
																																			4.550	73.548	-4.538	-15.708	1.0535	-0.065	-0.225
																																			4.600	73.286	-5.585		1.0498	-0.080	
