Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5
Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
2.050	11.432	11.868	8.727	0.1637	0.170	0.125	2.050	10.873	11.519	6.981	0.1557	0.165	0.100	2.050	11.380	11.868	5.236	0.1630	0.170	0.075	2.050	11.065	11.694	6.981	0.1585	0.168	0.100	2.050	11.153	11.694	5.236	0.1597	0.168	0.075
2.100	12.043	12.392	6.981	0.1725	0.178	0.100	2.100	11.467	11.868	5.236	0.1642	0.170	0.075	2.100	11.973	12.043	3.491	0.1715	0.173	0.050	2.100	11.659	12.043	5.236	0.1670	0.173	0.075	2.100	11.746	12.043	5.236	0.1683	0.173	0.075
2.150	12.671	12.566	3.491	0.1815	0.180	0.050	2.150	12.060	12.043	5.236	0.1728	0.172	0.075	2.150	12.584	12.217	5.236	0.1802	0.175	0.075	2.150	12.270	12.217	5.236	0.1758	0.175	0.075	2.150	12.357	12.217	5.236	0.1770	0.175	0.075
2.200	13.299	12.741	5.236	0.1905	0.183	0.075	2.200	12.671	12.392	6.981	0.1815	0.177	0.100	2.200	13.195	12.566	6.981	0.1890	0.180	0.100	2.200	12.881	12.566	6.981	0.1845	0.180	0.100	2.200	12.968	12.566	6.981	0.1857	0.180	0.100
2.250	13.945	13.090	5.236	0.1998	0.187	0.075	2.250	13.299	12.741	5.236	0.1905	0.183	0.075	2.250	13.840	12.915	5.236	0.1983	0.185	0.075	2.250	13.526	12.915	5.236	0.1937	0.185	0.075	2.250	13.614	12.915	5.236	0.1950	0.185	0.075
2.300	14.608	13.265	5.236	0.2092	0.190	0.075	2.300	13.945	12.915	3.491	0.1998	0.185	0.050	2.300	14.486	13.090	5.236	0.2075	0.187	0.075	2.300	14.172	13.090	5.236	0.2030	0.187	0.075	2.300	14.259	13.090	5.236	0.2043	0.187	0.075
2.350	15.272	13.614	6.981	0.2187	0.195	0.100	2.350	14.591	13.090	5.236	0.2090	0.187	0.075	2.350	15.149	13.439	6.981	0.2170	0.192	0.100	2.350	14.835	13.439	6.981	0.2125	0.192	0.100	2.350	14.923	13.439	6.981	0.2137	0.192	0.100
2.400	15.970	13.963	5.236	0.2288	0.200	0.075	2.400	15.254	13.439	6.981	0.2185	0.193	0.100	2.400	15.830	13.788	5.236	0.2267	0.198	0.075	2.400	15.516	13.788	6.981	0.2222	0.198	0.100	2.400	15.603	13.788	6.981	0.2235	0.198	0.100
2.450	16.668	14.137	6.981	0.2387	0.203	0.100	2.450	15.935	13.788	6.981	0.2282	0.198	0.100	2.450	16.528	13.963	3.491	0.2368	0.200	0.050	2.450	16.214	14.137	5.236	0.2322	0.203	0.075	2.450	16.301	14.137	5.236	0.2335	0.203	0.075
2.500	17.383	14.661	8.727	0.2490	0.210	0.125	2.500	16.633	14.137	5.236	0.2383	0.202	0.075	2.500	17.226	14.137	5.236	0.2467	0.202	0.075	2.500	16.930	14.312	3.491	0.2425	0.205	0.050	2.500	17.017	14.312	3.491	0.2437	0.205	0.050
