Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5	Run #6	Run #6	Run #6	Run #6	Run #6	Run #6	Run #6	Run #7	Run #7	Run #7	Run #7	Run #7	Run #7	Run #7	Run #8	Run #8	Run #8	Run #8	Run #8	Run #8	Run #8
Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
1.550	0.000	0.000	0.000	0.0000	0.000	0.000																						1.550	13.631	18.850	12.217	0.1953	0.270	0.175	1.550	36.512	39.444	20.944	0.5230	0.565	0.300	1.550	13.753	19.199	13.963	0.1970	0.275	0.200	1.550	16.319	20.595	13.963	0.2338	0.295	0.200
1.600	0.000	0.000	0.000	0.0000	0.000	0.000																						1.600	14.591	19.548	13.963	0.2090	0.280	0.200	1.600	38.519	40.317	17.453	0.5517	0.577	0.250	1.600	14.731	19.897	13.963	0.2110	0.285	0.200	1.600	17.366	21.293	12.217	0.2487	0.305	0.175
1.650	0.000	0.000	0.000	0.0000	0.000	0.000																						1.650	15.586	20.246	13.963	0.2233	0.290	0.200	1.650	40.544	41.190	20.944	0.5807	0.590	0.300	1.650	15.743	20.595	12.217	0.2255	0.295	0.175	1.650	18.448	21.817	10.472	0.2642	0.312	0.150
1.700	0.000	0.000	0.000	0.0000	0.000	0.000																						1.700	16.616	20.944	13.963	0.2380	0.300	0.200	1.700	42.638	42.411	22.689	0.6108	0.608	0.325	1.700	16.790	21.118	10.472	0.2405	0.303	0.150	1.700	19.548	22.340	12.217	0.2800	0.320	0.175
1.750	0.000	0.000	0.000	0.0000	0.000	0.000																						1.750	17.680	21.642	12.217	0.2533	0.310	0.175	1.750	44.785	43.459	20.944	0.6415	0.623	0.300	1.750	17.855	21.642	12.217	0.2558	0.310	0.175	1.750	20.682	23.038	13.963	0.2963	0.330	0.200
1.800	0.000	0.000	0.000	0.0000	0.000	0.000																						1.800	18.780	22.166	10.472	0.2690	0.317	0.150	1.800	46.984	44.506	20.944	0.6730	0.638	0.300	1.800	18.954	22.340	13.963	0.2715	0.320	0.200	1.800	21.852	23.736	13.963	0.3130	0.340	0.200
1.850	0.000	0.000	0.000	0.0000	0.000	0.000																						1.850	19.897	22.689	10.472	0.2850	0.325	0.150	1.850	49.236	45.553	17.453	0.7053	0.652	0.250	1.850	20.089	23.038	13.963	0.2878	0.330	0.200	1.850	23.056	24.435	12.217	0.3302	0.350	0.175
1.900	0.000	0.000	0.000	0.0000	0.000	0.000																						1.900	21.049	23.213	12.217	0.3015	0.332	0.175	1.900	51.540	46.251	8.727	0.7382	0.662	0.125	1.900	21.258	23.736	13.963	0.3045	0.340	0.200	1.900	24.295	24.958	12.217	0.3480	0.357	0.175
1.950	0.000	0.000	0.000	0.0000	0.000	0.000																						1.950	22.218	23.911	15.708	0.3183	0.343	0.225	1.950	53.861	46.426	1.745	0.7715	0.665	0.025	1.950	22.462	24.435	12.217	0.3217	0.350	0.175	1.950	25.552	25.656	13.963	0.3660	0.367	0.200
2.000	0.000	0.000	0.000	0.0000	0.000	0.000																						2.000	23.440	24.784	13.963	0.3357	0.355	0.200	2.000	56.182	46.426	-1.745	0.8048	0.665	-0.025	2.000	23.702	24.958	10.472	0.3395	0.357	0.150	2.000	26.861	26.354	12.217	0.3847	0.377	0.175
2.050	0.000	0.000	0.000	0.0000	0.000	0.000																						2.050	24.696	25.307	10.472	0.3538	0.362	0.150	2.050	58.503	46.251	-5.236	0.8380	0.662	-0.075	2.050	24.958	25.482	12.217	0.3575	0.365	0.175	2.050	28.187	26.878	12.217	0.4038	0.385	0.175
2.100	0.000	0.000	0.000	0.0000	0.000	0.000																						2.100	25.970	25.831	10.472	0.3720	0.370	0.150	2.100	60.807	45.902	-5.236	0.8710	0.658	-0.075	2.100	26.250	26.180	13.963	0.3760	0.375	0.200	2.100	29.548	27.576	12.217	0.4233	0.395	0.175
2.150	0.000	0.000	0.000	0.0000	0.000	0.000																						2.150	27.279	26.354	12.217	0.3907	0.377	0.175	2.150	63.094	45.728	-1.745	0.9038	0.655	-0.025	2.150	27.576	26.878	13.963	0.3950	0.385	0.200	2.150	30.945	28.100	10.472	0.4432	0.402	0.150
2.200	0.000	0.000		0.0000	0.000																							2.200	28.606	27.053	13.963	0.4097	0.387	0.200	2.200	65.380	45.728	-1.745	0.9365	0.655	-0.025	2.200	28.938	27.576	13.963	0.4145	0.395	0.200	2.200	32.358	28.623	13.963	0.4635	0.410	0.200
																												2.250	29.985	27.751	12.217	0.4295	0.397	0.175	2.250	67.666	45.553	-5.236	0.9693	0.652	-0.075	2.250	30.334	28.274	12.217	0.4345	0.405	0.175	2.250	33.807	29.496	15.708	0.4842	0.422	0.225
																												2.300	31.381	28.274	10.472	0.4495	0.405	0.150	2.300	69.935	45.204	-6.981	1.0018	0.647	-0.100	2.300	31.765	28.798	12.217	0.4550	0.412	0.175	2.300	35.308	30.194	10.472	0.5057	0.432	0.150
																												2.350	32.812	28.798	12.217	0.4700	0.412	0.175	2.350	72.187	44.855	-17.453	1.0340	0.643	-0.250	2.350	33.214	29.496	13.963	0.4758	0.422	0.200	2.350	36.826	30.543	10.472	0.5275	0.437	0.150
																												2.400	34.261	29.496	13.963	0.4908	0.422	0.200	2.400	74.421	43.459	-43.633	1.0660	0.622	-0.625	2.400	34.715	30.194	12.217	0.4972	0.432	0.175	2.400	38.362	31.241	15.708	0.5495	0.448	0.225
																												2.450	35.762	30.194	12.217	0.5122	0.433	0.175	2.450	76.533	40.492	-54.105	1.0963	0.580	-0.775	2.450	36.233	30.718	12.217	0.5190	0.440	0.175	2.450	39.951	32.114	13.963	0.5723	0.460	0.200
																												2.500	37.280	30.718	10.472	0.5340	0.440	0.150	2.500	78.470	38.048	-68.068	1.1240	0.545	-0.975	2.500	37.786	31.416	13.963	0.5413	0.450	0.200	2.500	41.574	32.638	10.472	0.5955	0.467	0.150
																												2.550	38.834	31.241	10.472	0.5563	0.447	0.150	2.550	80.337	33.685	-146.608	1.1508	0.482	-2.100	2.550	39.375	32.114	12.217	0.5640	0.460	0.175	2.550	43.214	33.161	12.217	0.6190	0.475	0.175
																												2.600	40.404	31.765	12.217	0.5788	0.455	0.175	2.600	81.838	23.387	-254.818	1.1723	0.335	-3.650	2.600	40.998	32.638		0.5873	0.467		2.600	44.890	33.859	12.217	0.6430	0.485	0.175
																												2.650	42.010	32.463	13.963	0.6017	0.465	0.200	2.650	82.676	8.203	-247.837	1.1843	0.117	-3.550								2.650	46.600	34.383	10.472	0.6675	0.492	0.150
																												2.700	43.651	33.161	13.963	0.6253	0.475	0.200	2.700	82.659	-1.396	-95.993	1.1840	-0.020	-1.375								2.700	48.328	34.907	12.217	0.6923	0.500	0.175
																												2.750	45.326	33.859	12.217	0.6493	0.485	0.175	2.750	82.537	-1.396	10.472	1.1823	-0.020	0.150								2.750	50.091	35.605	12.217	0.7175	0.510	0.175
																												2.800	47.037	34.383	10.472	0.6737	0.492	0.150	2.800	82.519	-0.349	10.472	1.1820	-0.005	0.150								2.800	51.889	36.128	10.472	0.7432	0.517	0.150
																												2.850	48.764	34.907	12.217	0.6985	0.500	0.175	2.850	82.502	-0.349	-1.745	1.1818	-0.005	-0.025								2.850	53.704	36.652	1.745	0.7692	0.525	0.025
																												2.900	50.527	35.605	12.217	0.7237	0.510	0.175	2.900	82.484	-0.524	-10.472	1.1815	-0.008	-0.150								2.900	55.554	36.303	-10.472	0.7958	0.520	-0.150
																												2.950	52.325	36.128	12.217	0.7495	0.518	0.175	2.950	82.449	-1.396	-20.944	1.1810	-0.020	-0.300								2.950	57.334	35.605	-8.727	0.8213	0.510	-0.125
																												3.000	54.140	36.826	12.217	0.7755	0.527	0.175	3.000	82.345	-2.618	-20.944	1.1795	-0.037	-0.300								3.000	59.114	35.430	-5.236	0.8467	0.507	-0.075
																												3.050	56.008	37.350	5.236	0.8022	0.535	0.075	3.050	82.188	-3.491	-12.217	1.1773	-0.050	-0.175								3.050	60.877	35.081	-6.981	0.8720	0.502	-0.100
																												3.100	57.875	37.350	0.000	0.8290	0.535	-1.110E-14	3.100	81.996	-3.840	0.000	1.1745	-0.055	-2.220E-14								3.100	62.622	34.732	-8.727	0.8970	0.498	-0.125
																												3.150	59.743	37.350	9.948E-13	0.8557	0.535	2.331E-14	3.150	81.804	-3.491	3.491	1.1718	-0.050	0.050								3.150	64.350	34.208	-10.472	0.9217	0.490	-0.150
																												3.200	61.610	37.350	-1.745	0.8825	0.535	-0.025	3.200	81.646	-3.491	-8.727	1.1695	-0.050	-0.125								3.200	66.043	33.685	-8.727	0.9460	0.483	-0.125
																												3.250	63.478	37.176	-5.236	0.9092	0.532	-0.075	3.250	81.455	-4.363	-20.944	1.1668	-0.062	-0.300								3.250	67.719	33.336	-8.727	0.9700	0.477	-0.125
																												3.300	65.328	36.826	-3.491	0.9358	0.527	-0.050	3.300	81.210	-5.585	-24.435	1.1633	-0.080	-0.350								3.300	69.377	32.812	-10.472	0.9938	0.470	-0.150
																												3.350	67.160	36.826	-1.421E-12	0.9620	0.528	1.110E-14	3.350	80.896	-6.807	-17.453	1.1588	-0.098	-0.250								3.350	71.000	32.289	-8.727	1.0170	0.462	-0.125
																												3.400	69.010	36.826	-3.491	0.9885	0.528	-0.050	3.400	80.529	-7.330	-1.745	1.1535	-0.105	-0.025								3.400	72.606	31.940	-8.727	1.0400	0.457	-0.125
																												3.450	70.843	36.477	-5.236	1.0148	0.523	-0.075	3.450	80.163	-6.981	6.981	1.1483	-0.100	0.100								3.450	74.194	31.416	-10.472	1.0628	0.450	-0.150
																												3.500	72.658	36.303	-1.745	1.0408	0.520	-0.025	3.500	79.831	-6.632	6.981	1.1435	-0.095	0.100								3.500	75.747	30.892	-8.727	1.0850	0.442	-0.125
																												3.550	74.473	36.303	-1.745	1.0668	0.520	-0.025	3.550	79.500	-6.283	5.236	1.1388	-0.090	0.075								3.550	77.283	30.543	-6.981	1.1070	0.437	-0.100
